Field|Description
id|
|
created_by| author of the entry. system-generated.
created_date| date of the entry. system-generated.
modified_by| editor of the entry. system-generated
modified_date| date that the entry has modified. system-generated
version|
billing_id| Identification number used by BSMD to identify direct participants billable to WESM
direct_participant| Name of the direct participant who owns the billing ID
effective_end_date| end date of configuration
effective_start_date| start date of configuration
renewable| Determines non-renewable and renewable generators. Used in GMR/VAT
tp_address|
tp_short_name|
trading_participant|
virtual_id|
withholding_tax|
zero_rated|
charge_id|
charge_id_label|
interval|
vat_rate|
withholding_rate|
amount|
energy|
market_fee_mode|
reserves|
due_date_interval_days|
num_of_installments|
dispatch_interval_end|
dispatch_interval_start|
mtn|
cost_recovery_mode|
market_product_id|
reserve_category_code|
reserve_category_name|
name|
market_fee|
rcra|
rta|
value|
author|
filename|
dateexecuted|
orderexecuted|
exectype|
md5sum|
description|
comments|
tag|
liquibase|
contexts|
labels|
deployment_id|
locked|
lockgranted|
lockedby|
sein|
created_datetime|
details|
error_code|
group_id|
parent_job|
run_id|
adj_run_created_date|
billing_period_end|
billing_period_id|
billing_period_start|
inv_generated|
mf_generated|
mru_installments|
sp_generated|
job_id|
run_date|
bcq|
buyer_bilateral_adj_amt|
buyer_bilateral_llcc|
buyer_billing_id|
dispatch_interval|
fedp|
fedp_mcc|
fedp_mlc|
fedp_mlc_mcc|
fedp_smp|
llcp|
lowest_fedp_mlc_mcc|
reference_mtn|
seller_bilateral_adj_amt|
seller_bilateral_llcc|
seller_billing_id|
seller_mtn|
payment_num|
delta_vat_installment|
ac_group_id|
vat|
quantity|
mf_rate|
gmr|
tta|
vat_on_purchases|
vat_on_sales|
vatable_purchases|
vatable_sales|
withholding_tax_amt|
zero_rated_ecozone|
zero_rated_purchases|
zero_rated_sales|
billing_tp|
billing_tp_short_name|
facility_type|
gesq|
gta|
llcc|
mtn_facility_type|
mw_schedule|
region|
ac_job_id|
approved_rate|
pricing_condition|
ac_amount|
ac_mtn|
allocation_amount|
total_gesq_per_di_region|
allocation_amount_installment|
bilateral_adj_amt|
spot_qty|
ac_amount_installment|
nss_flowback|
purchases|
sales|
sales_to_ecozone|
vat_on_ecozones|
prev_vat_on_energy|
eta|
line_rental|
mfq|
mfr_config_amount|
total_mfq|
value_added_tax|
final_llcc|
gen_bilateral_llcc|
gen_gross_llcc|
load_bilateral_llcc|
load_gesq|
load_gross_llcc|
raw_llcc|
scaling_factor|
total_final_llcc|
total_load_gesq|
total_nss|
gen_gesq|
gen_gesq_abs|
load_gesq_abs|
reserve_category|
rr_cost|
total_gen_gesq|
total_gen_gesq_abs|
total_load_gesq_abs|
total_rta|
buying_bcq|
buying_fedp|
buying_lr|
buying_mtn|
buying_sein|
ref_fedp|
selling_bcq|
selling_fedp|
selling_lr|
total_sales|
total_vatable_sales|
total_zero_rated_purchases|
nss|
total_buyer_bilateral_adj|
total_gen_gta|
total_load_gta|
total_seller_bilateral_adj|
reserve_qty|
common_block|
ga|
highest_mw_schedule|
num_of_generators|
sqty|
total_rds|
frdp|
rbcq|
rds|
rsq|
