Field|Description
id|
created_by| author field; system-generated.
created_date| date created field; system-generated.
modified_by| editor field; system-generated
modified_date| last edited; system-generated
version|
group_id| identification of a settlement processing (by process type, by billing period) with adjustments considered
job_id| identification of a settlement processing based from settlement-ready meter data
run_date| date the job was run
billing_id| identification used by BSMD to identify direct participants billable to WESM
dispatch_interval|
facility_type| gen or load
line_rental| line rental trading amount
